id|rightsId|version
01007EF00011E800|00000000000000000000000000000000|1048576
0100BCE000598800|00000000000000000000000000000000|65536
010053D0001BE800|00000000000000000000000000000000|327680
0100CD3000BDC800|00000000000000000000000000000000|196608
01007AD00013E800|00000000000000000000000000000000|720896
010048D000BFC800|00000000000000000000000000000000|131072
01009510001CA800|00000000000000000000000000000000|262144
0100CCC0002E6800|00000000000000000000000000000000|131072
01008A9001DC2800|00000000000000000000000000000000|131072
01009D4001DC4800|00000000000000000000000000000000|131072
0100A8C001DCE800|00000000000000000000000000000000|131072
0100B42001DB4800|00000000000000000000000000000000|131072
0100BA8001DC6800|00000000000000000000000000000000|131072
0100CEF001DC0800|00000000000000000000000000000000|131072
0100225000FEE800|00000000000000000000000000000000|589824
010021C000B6A800|00000000000000000000000000000000|524288
0100701001D92800|00000000000000000000000000000000|131072
0100B18001D8E800|00000000000000000000000000000000|262144
0100882001380800|00000000000000000000000000000000|131072
0100E29001298800|00000000000000000000000000000000|393216
010057D0021E8800|00000000000000000000000000000000|458752
0100C0F0020E8800|00000000000000000000000000000000|327680
01004D10020F2800|00000000000000000000000000000000|327680
010085500130A800|00000000000000000000000000000000|196608
01003A30012C0800|00000000000000000000000000000000|131072
01004E90028A2800|00000000000000000000000000000000|65536
0100E5F0000C0800|00000000000000000000000000000000|196608
01002E70032E8800|00000000000000000000000000000000|131072
0100849000BDA800|00000000000000000000000000000000|65536
010065A00213C800|00000000000000000000000000000000|65536
01003D60012BE800|00000000000000000000000000000000|65536
01004B1001D22800|00000000000000000000000000000000|131072
01006BD001E06800|00000000000000000000000000000000|1114112
0100152000022800|00000000000000000000000000000000|1376256
01005700031AE800|00000000000000000000000000000000|262144
0100BBF0027EC800|00000000000000000000000000000000|131072
0100C86000B58800|00000000000000000000000000000000|131072
01007330027EE800|00000000000000000000000000000000|131072
0100F0400351C800|00000000000000000000000000000000|262144
0100A7F002830800|00000000000000000000000000000000|983040
0100C5E003B40800|00000000000000000000000000000000|131072
0100744001588800|00000000000000000000000000000000|131072
01008D1001512800|00000000000000000000000000000000|131072
0100125002060800|00000000000000000000000000000000|262144
01002580038DE800|00000000000000000000000000000000|65536
01009B500007C800|00000000000000000000000000000000|1245184
01004DE001DC8800|00000000000000000000000000000000|131072
010002900294A800|00000000000000000000000000000000|131072
